{{2., 6.}, {0., 269.23612015234846, 139.08124584061335}}
{{2., 7.}, {0., 306.87850155029963, 162.137540142999}}
{{2., 8.}, {0., 337.8298392913237, 171.6358768812403}}
{{2., 9.}, {0., 362.82016070867627, 171.6358768812403}}
{{2., 10.}, {0., 393.77149844970035, 162.137540142999}}
{{2., 11.}, {0., 431.4138798476515, 139.08124584061335}}
{{3., 4.}, {0., 195.41122655503116, 159.02242166469279}}
{{3., 5.}, {0., 255.40296604648427, 198.41799149738182}}
{{3., 6.}, {0., 291.6390207500012, 218.51413249192288}}
{{3., 7.}, {0., 316.70922276528063, 224.86921142411015}}
{{3., 8.}, {0., 339.76856443404336, 229.66438935038536}}
{{3., 9.}, {0., 360.8814355659566, 229.66438935038536}}
{{3., 10.}, {0., 383.94077723471935, 224.86921142411015}}
{{3., 11.}, {0., 409.0109792499988, 218.51413249192288}}
{{3., 12.}, {0., 445.2470339535157, 198.41799149738182}}
{{3., 13.}, {0., 505.23877344496884, 159.02242166469279}}
{{4., 3.}, {0., 159.02242166469279, 195.41122655503116}}
{{4., 4.}, {0., 232.6308969449843, 232.6308969449843}}
{{4., 5.}, {0., 270.3620320570956, 247.9770682961561}}
{{4., 6.}, {0., 299.3016617887582, 258.27646123355464}}
{{4., 7.}, {0., 322.16533301875273, 263.6584565194778}}
{{4., 8.}, {0., 341.1449413201906, 262.98257600914394}}
{{4., 9.}, {0., 359.5050586798094, 262.98257600914394}}
{{4., 10.}, {0., 378.48466698124724, 263.6584565194778}}
{{4., 11.}, {0., 401.34833821124175, 258.27646123355464}}
{{4., 12.}, {0., 430.2879679429044, 247.9770682961561}}
{{4., 13.}, {0., 468.01910305501565, 232.6308969449843}}
{{4., 14.}, {0., 541.6275783353071, 195.41122655503116}}
{{5., 3.}, {0., 198.41799149738182, 255.40296604648427}}
{{5., 4.}, {0., 247.9770682961561, 270.3620320570956}}
{{5., 5.}, {0., 281.03366217675773, 281.03366217675773}}
{{5., 6.}, {0., 302.44874656141565, 284.42899034723666}}
{{5., 7.}, {0., 323.15972588374257, 286.32762470496414}}
{{5., 8.}, {0., 341.8112442171154, 289.74647987868957}}
{{5., 9.}, {0., 358.83875578288456, 289.74647987868957}}
{{5., 10.}, {0., 377.4902741162574, 286.32762470496414}}
{{5., 11.}, {0., 398.20125343858433, 284.42899034723666}}
{{5., 12.}, {0., 419.61633782324225, 281.03366217675773}}
{{5., 13.}, {0., 452.6729317038439, 270.3620320570956}}
{{5., 14.}, {0., 502.23200850261816, 255.40296604648427}}
{{6., 2.}, {0., 139.08124584061335, 269.23612015234846}}
{{6., 3.}, {0., 218.51413249192288, 291.6390207500012}}
{{6., 4.}, {0., 258.27646123355464, 299.3016617887582}}
{{6., 5.}, {0., 284.42899034723666, 302.44874656141565}}
{{6., 6.}, {0., 307.06854881859465, 307.06854881859465}}
{{6., 7.}, {0., 325.5279013437257, 309.05569748454104}}
{{6., 8.}, {0., 342.08447641093625, 307.931181276184}}
{{6., 9.}, {0., 358.56552358906373, 307.931181276184}}
{{6., 10.}, {0., 375.12209865627426, 309.05569748454104}}
{{6., 11.}, {0., 393.5814511814053, 307.06854881859465}}
{{6., 12.}, {0., 416.2210096527633, 302.44874656141565}}
{{6., 13.}, {0., 442.37353876644534, 299.3016617887582}}
{{6., 14.}, {0., 482.1358675080771, 291.6390207500012}}
{{6., 15.}, {0., 561.5687541593866, 269.23612015234846}}
{{7., 2.}, {0., 162.137540142999, 306.87850155029963}}
{{7., 3.}, {0., 224.86921142411015, 316.70922276528063}}
{{7., 4.}, {0., 263.6584565194778, 322.16533301875273}}
{{7., 5.}, {0., 286.32762470496414, 323.15972588374257}}
{{7., 6.}, {0., 309.05569748454104, 325.5279013437257}}
{{7., 7.}, {0., 326.5608894336446, 326.5608894336446}}
{{7., 8.}, {0., 342.7911192400431, 327.13809921403924}}
{{7., 9.}, {0., 357.8588807599569, 327.13809921403924}}
{{7., 10.}, {0., 374.0891105663554, 326.5608894336446}}
{{7., 11.}, {0., 391.59430251545893, 325.5279013437257}}
{{7., 12.}, {0., 414.32237529503584, 323.15972588374257}}
{{7., 13.}, {0., 436.9915434805222, 322.16533301875273}}
{{7., 14.}, {0., 475.7807885758898, 316.70922276528063}}
{{7., 15.}, {0., 538.512459857001, 306.87850155029963}}
{{8., 2.}, {0., 171.6358768812403, 337.8298392913237}}
{{8., 3.}, {0., 229.66438935038536, 339.76856443404336}}
{{8., 4.}, {0., 262.98257600914394, 341.1449413201906}}
{{8., 5.}, {0., 289.74647987868957, 341.8112442171154}}
{{8., 6.}, {0., 307.931181276184, 342.08447641093625}}
{{8., 7.}, {0., 327.13809921403924, 342.7911192400431}}
{{8., 8.}, {0., 342.5657294664, 342.5657294664}}
{{8., 9.}, {0., 358.0842705336, 342.5657294664}}
{{8., 10.}, {0., 373.51190078596073, 342.7911192400431}}
{{8., 11.}, {0., 392.71881872381596, 342.08447641093625}}
{{8., 12.}, {0., 410.9035201213104, 341.8112442171154}}
{{8., 13.}, {0., 437.66742399085604, 341.1449413201906}}
{{8., 14.}, {0., 470.9856106496146, 339.76856443404336}}
{{8., 15.}, {0., 529.0141231187597, 337.8298392913237}}
{{9., 2.}, {0., 171.6358768812403, 362.82016070867627}}
{{9., 3.}, {0., 229.66438935038536, 360.8814355659566}}
{{9., 4.}, {0., 262.98257600914394, 359.5050586798094}}
{{9., 5.}, {0., 289.74647987868957, 358.83875578288456}}
{{9., 6.}, {0., 307.931181276184, 358.56552358906373}}
{{9., 7.}, {0., 327.13809921403924, 357.8588807599569}}
{{9., 8.}, {0., 342.5657294664, 358.0842705336}}
{{9., 9.}, {0., 358.0842705336, 358.0842705336}}
{{9., 10.}, {0., 373.51190078596073, 357.8588807599569}}
{{9., 11.}, {0., 392.71881872381596, 358.56552358906373}}
{{9., 12.}, {0., 410.9035201213104, 358.83875578288456}}
{{9., 13.}, {0., 437.66742399085604, 359.5050586798094}}
{{9., 14.}, {0., 470.9856106496146, 360.8814355659566}}
{{9., 15.}, {0., 529.0141231187597, 362.82016070867627}}
{{10., 2.}, {0., 162.137540142999, 393.77149844970035}}
{{10., 3.}, {0., 224.86921142411015, 383.94077723471935}}
{{10., 4.}, {0., 263.6584565194778, 378.48466698124724}}
{{10., 5.}, {0., 286.32762470496414, 377.4902741162574}}
{{10., 6.}, {0., 309.05569748454104, 375.12209865627426}}
{{10., 7.}, {0., 326.5608894336446, 374.0891105663554}}
{{10., 8.}, {0., 342.7911192400431, 373.51190078596073}}
{{10., 9.}, {0., 357.8588807599569, 373.51190078596073}}
{{10., 10.}, {0., 374.0891105663554, 374.0891105663554}}
{{10., 11.}, {0., 391.59430251545893, 375.12209865627426}}
{{10., 12.}, {0., 414.32237529503584, 377.4902741162574}}
{{10., 13.}, {0., 436.9915434805222, 378.48466698124724}}
{{10., 14.}, {0., 475.7807885758898, 383.94077723471935}}
{{10., 15.}, {0., 538.512459857001, 393.77149844970035}}
{{11., 2.}, {0., 139.08124584061335, 431.4138798476515}}
{{11., 3.}, {0., 218.51413249192288, 409.0109792499988}}
{{11., 4.}, {0., 258.27646123355464, 401.34833821124175}}
{{11., 5.}, {0., 284.42899034723666, 398.20125343858433}}
{{11., 6.}, {0., 307.06854881859465, 393.5814511814053}}
{{11., 7.}, {0., 325.5279013437257, 391.59430251545893}}
{{11., 8.}, {0., 342.08447641093625, 392.71881872381596}}
{{11., 9.}, {0., 358.56552358906373, 392.71881872381596}}
{{11., 10.}, {0., 375.12209865627426, 391.59430251545893}}
{{11., 11.}, {0., 393.5814511814053, 393.5814511814053}}
{{11., 12.}, {0., 416.2210096527633, 398.20125343858433}}
{{11., 13.}, {0., 442.37353876644534, 401.34833821124175}}
{{11., 14.}, {0., 482.1358675080771, 409.0109792499988}}
{{11., 15.}, {0., 561.5687541593866, 431.4138798476515}}
{{12., 3.}, {0., 198.41799149738182, 445.2470339535157}}
{{12., 4.}, {0., 247.9770682961561, 430.2879679429044}}
{{12., 5.}, {0., 281.03366217675773, 419.61633782324225}}
{{12., 6.}, {0., 302.44874656141565, 416.2210096527633}}
{{12., 7.}, {0., 323.15972588374257, 414.32237529503584}}
{{12., 8.}, {0., 341.8112442171154, 410.9035201213104}}
{{12., 9.}, {0., 358.83875578288456, 410.9035201213104}}
{{12., 10.}, {0., 377.4902741162574, 414.32237529503584}}
{{12., 11.}, {0., 398.20125343858433, 416.2210096527633}}
{{12., 12.}, {0., 419.61633782324225, 419.61633782324225}}
{{12., 13.}, {0., 452.6729317038439, 430.2879679429044}}
{{12., 14.}, {0., 502.23200850261816, 445.2470339535157}}
{{13., 3.}, {0., 159.02242166469279, 505.23877344496884}}
{{13., 4.}, {0., 232.6308969449843, 468.01910305501565}}
{{13., 5.}, {0., 270.3620320570956, 452.6729317038439}}
{{13., 6.}, {0., 299.3016617887582, 442.37353876644534}}
{{13., 7.}, {0., 322.16533301875273, 436.9915434805222}}
{{13., 8.}, {0., 341.1449413201906, 437.66742399085604}}
{{13., 9.}, {0., 359.5050586798094, 437.66742399085604}}
{{13., 10.}, {0., 378.48466698124724, 436.9915434805222}}
{{13., 11.}, {0., 401.34833821124175, 442.37353876644534}}
{{13., 12.}, {0., 430.2879679429044, 452.6729317038439}}
{{13., 13.}, {0., 468.01910305501565, 468.01910305501565}}
{{13., 14.}, {0., 541.6275783353071, 505.23877344496884}}
{{14., 4.}, {0., 195.41122655503116, 541.6275783353071}}
{{14., 5.}, {0., 255.40296604648427, 502.23200850261816}}
{{14., 6.}, {0., 291.6390207500012, 482.1358675080771}}
{{14., 7.}, {0., 316.70922276528063, 475.7807885758898}}
{{14., 8.}, {0., 339.76856443404336, 470.9856106496146}}
{{14., 9.}, {0., 360.8814355659566, 470.9856106496146}}
{{14., 10.}, {0., 383.94077723471935, 475.7807885758898}}
{{14., 11.}, {0., 409.0109792499988, 482.1358675080771}}
{{14., 12.}, {0., 445.2470339535157, 502.23200850261816}}
{{14., 13.}, {0., 505.23877344496884, 541.6275783353071}}
{{15., 6.}, {0., 269.23612015234846, 561.5687541593866}}
{{15., 7.}, {0., 306.87850155029963, 538.512459857001}}
{{15., 8.}, {0., 337.8298392913237, 529.0141231187597}}
{{15., 9.}, {0., 362.82016070867627, 529.0141231187597}}
{{15., 10.}, {0., 393.77149844970035, 538.512459857001}}
{{15., 11.}, {0., 431.4138798476515, 561.5687541593866}}
