{{2., 6.}, {0., 269.75487953607166, 139.3492251196897}}
{{2., 7.}, {0., 307.46978960723663, 162.44994388123214}}
{{2., 8.}, {0., 338.48076383716443, 171.96658184632938}}
{{2., 9.}, {0., 363.51923616283557, 171.96658184632938}}
{{2., 10.}, {0., 394.53021039276337, 162.44994388123214}}
{{2., 11.}, {0., 432.24512046392834, 139.3492251196897}}
{{3., 4.}, {0., 195.78774144242044, 159.32882324786175}}
{{3., 5.}, {0., 255.89507195408828, 198.80029976616288}}
{{3., 6.}, {0., 292.20094564547327, 218.93516164894007}}
{{3., 7.}, {0., 317.3194524815914, 225.30248543456122}}
{{3., 8.}, {0., 340.4232244811224, 230.10690262466358}}
{{3., 9.}, {0., 361.5767755188776, 230.10690262466358}}
{{3., 10.}, {0., 384.6805475184086, 225.30248543456122}}
{{3., 11.}, {0., 409.79905435452673, 218.93516164894007}}
{{3., 12.}, {0., 446.1049280459117, 198.80029976616288}}
{{3., 13.}, {0., 506.21225855757956, 159.32882324786175}}
{{4., 3.}, {0., 159.32882324786175, 195.78774144242044}}
{{4., 4.}, {0., 233.07912603351028, 233.07912603351028}}
{{4., 5.}, {0., 270.8829608279185, 248.4548661156092}}
{{4., 6.}, {0., 299.87835092515274, 258.7741037407484}}
{{4., 7.}, {0., 322.7860754715827, 264.16646895978505}}
{{4., 8.}, {0., 341.8022533458557, 263.4892861748649}}
{{4., 9.}, {0., 360.1977466541443, 263.4892861748649}}
{{4., 10.}, {0., 379.2139245284173, 264.16646895978505}}
{{4., 11.}, {0., 402.12164907484726, 258.7741037407484}}
{{4., 12.}, {0., 431.1170391720815, 248.4548661156092}}
{{4., 13.}, {0., 468.9208739664897, 233.07912603351028}}
{{4., 14.}, {0., 542.6711767521383, 195.78774144242044}}
{{5., 3.}, {0., 198.80029976616288, 255.89507195408828}}
{{5., 4.}, {0., 248.4548661156092, 270.8829608279185}}
{{5., 5.}, {0., 281.57515285532565, 281.57515285532565}}
{{5., 6.}, {0., 303.0314994449637, 284.97702308393656}}
{{5., 7.}, {0., 323.7823843151178, 286.87931569668854}}
{{5., 8.}, {0., 342.4698400633912, 290.3047582599587}}
{{5., 9.}, {0., 359.5301599366088, 290.3047582599587}}
{{5., 10.}, {0., 378.2176156848822, 286.87931569668854}}
{{5., 11.}, {0., 398.9685005550363, 284.97702308393656}}
{{5., 12.}, {0., 420.42484714467435, 281.57515285532565}}
{{5., 13.}, {0., 453.5451338843908, 270.8829608279185}}
{{5., 14.}, {0., 503.1997002338371, 255.89507195408828}}
{{6., 2.}, {0., 139.3492251196897, 269.75487953607166}}
{{6., 3.}, {0., 218.93516164894007, 292.20094564547327}}
{{6., 4.}, {0., 258.7741037407484, 299.87835092515274}}
{{6., 5.}, {0., 284.97702308393656, 303.0314994449637}}
{{6., 6.}, {0., 307.6602030552393, 307.6602030552393}}
{{6., 7.}, {0., 326.155122733598, 309.65118052401033}}
{{6., 8.}, {0., 342.7435987161596, 308.52449761775665}}
{{6., 9.}, {0., 359.2564012838404, 308.52449761775665}}
{{6., 10.}, {0., 375.844877266402, 309.65118052401033}}
{{6., 11.}, {0., 394.3397969447607, 307.6602030552393}}
{{6., 12.}, {0., 417.02297691606344, 303.0314994449637}}
{{6., 13.}, {0., 443.2258962592516, 299.87835092515274}}
{{6., 14.}, {0., 483.06483835105996, 292.20094564547327}}
{{6., 15.}, {0., 562.6507748803103, 269.75487953607166}}
{{7., 2.}, {0., 162.44994388123214, 307.46978960723663}}
{{7., 3.}, {0., 225.30248543456122, 317.3194524815914}}
{{7., 4.}, {0., 264.16646895978505, 322.7860754715827}}
{{7., 5.}, {0., 286.87931569668854, 323.7823843151178}}
{{7., 6.}, {0., 309.65118052401033, 326.155122733598}}
{{7., 7.}, {0., 327.1901011666574, 327.1901011666574}}
{{7., 8.}, {0., 343.4516030921434, 327.76842310462507}}
{{7., 9.}, {0., 358.5483969078566, 327.76842310462507}}
{{7., 10.}, {0., 374.8098988333426, 327.1901011666574}}
{{7., 11.}, {0., 392.34881947598967, 326.155122733598}}
{{7., 12.}, {0., 415.12068430331146, 323.7823843151178}}
{{7., 13.}, {0., 437.83353104021495, 322.7860754715827}}
{{7., 14.}, {0., 476.6975145654388, 317.3194524815914}}
{{7., 15.}, {0., 539.5500561187679, 307.46978960723663}}
{{8., 2.}, {0., 171.96658184632938, 338.48076383716443}}
{{8., 3.}, {0., 230.10690262466358, 340.4232244811224}}
{{8., 4.}, {0., 263.4892861748649, 341.8022533458557}}
{{8., 5.}, {0., 290.3047582599587, 342.4698400633912}}
{{8., 6.}, {0., 308.52449761775665, 342.7435987161596}}
{{8., 7.}, {0., 327.76842310462507, 343.4516030921434}}
{{8., 8.}, {0., 343.22577904147977, 343.22577904147977}}
{{8., 9.}, {0., 358.77422095852023, 343.22577904147977}}
{{8., 10.}, {0., 374.23157689537493, 343.4516030921434}}
{{8., 11.}, {0., 393.47550238224335, 342.7435987161596}}
{{8., 12.}, {0., 411.6952417400413, 342.4698400633912}}
{{8., 13.}, {0., 438.5107138251351, 341.8022533458557}}
{{8., 14.}, {0., 471.8930973753364, 340.4232244811224}}
{{8., 15.}, {0., 530.0334181536706, 338.48076383716443}}
{{9., 2.}, {0., 171.96658184632938, 363.51923616283557}}
